============= Dilithium-III
[0m[1;31m     LWE instance generation    [0m
n=1280	m=1536	q=8380417
dim = 2654, m = 1373, dvol = 19371.02384334926, β = 623.6116
Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
v1. beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 1, threads = 60, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, succ_prob = 0.999, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2, list_decoding = `matzov22`. 
 index:        2, (  57,   4): (  50, 100) --> (1499,   1), goal index:     1363, cost = 
 index:     1382, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2805, cost = 
 index:     1383, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2783, cost = 
 index:     1384, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2759, cost = 
 index:     1385, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2783, cost = 
 index:     1386, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2780, cost = 
 index:     1387, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2792, cost = 
 index:     1388, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2793, cost = 
 index:     1389, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2806, cost = 
 index:     1390, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2797, cost = 
 index:     1391, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2802, cost = 
 index:     1392, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2812, cost = 
 index:     1393, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2813, cost = 
 index:     1394, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2821, cost = 
 index:     1395, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2804, cost = 
 index:     1396, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2809, cost = 
 index:     1397, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2818, cost = 
 index:     1398, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2818, cost = 
 index:     1399, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2826, cost = 
 index:     1400, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2809, cost = 
 index:     1401, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2816, cost = 
 index:     1402, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2823, cost = 
 index:     1403, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2823, cost = 
 index:     1404, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2831, cost = 
 index:     1405, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2814, cost = 
 index:     1406, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2781, cost = 
 index:     1407, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2805, cost = 
 index:     1408, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2803, cost = 
 index:     1409, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2813, cost = 
 index:     1410, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2814, cost = 
 index:     1411, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2827, cost = 
 index:     1412, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2819, cost = 
 index:     1413, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2823, cost = 
 index:     1414, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2832, cost = 
 index:     1415, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2833, cost = 
 index:     1416, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2841, cost = 
 index:     1417, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2826, cost = 
 index:     1418, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2830, cost = 
 index:     1419, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2838, cost = 
 index:     1420, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2838, cost = 
 index:     1421, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2846, cost = 
 index:     1422, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2831, cost = 
 index:     1423, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2837, cost = 
 index:     1424, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2843, cost = 
 index:     1425, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2843, cost = 
 index:     1426, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2851, cost = 
 index:     1427, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2836, cost = 
 index:     1428, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2803, cost = 
 index:     1429, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2827, cost = 
 index:     1430, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2825, cost = 
 index:     1431, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2835, cost = 
 index:     1432, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2836, cost = 
 index:     1433, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2849, cost = 
 index:     1434, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2841, cost = 
 index:     1435, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2845, cost = 
 index:     1436, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2854, cost = 
 index:     1437, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2855, cost = 
 index:     1438, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2863, cost = 
 index:     1439, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2848, cost = 
 index:     1440, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2852, cost = 
 index:     1441, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2860, cost = 
 index:     1442, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2860, cost = 
 index:     1443, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2868, cost = 
 index:     1444, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2853, cost = 
 index:     1445, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2858, cost = 
 index:     1446, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2865, cost = 
 index:     1447, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2865, cost = 
 index:     1448, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2872, cost = 
 index:     1449, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2857, cost = 
 index:     1450, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2825, cost = 
 index:     1451, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2849, cost = 
 index:     1452, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2846, cost = 
 index:     1453, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2856, cost = 
 index:     1454, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2858, cost = 
 index:     1455, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2870, cost = 
 index:     1456, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2862, cost = 
 index:     1457, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2866, cost = 
 index:     1458, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2875, cost = 
 index:     1459, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2876, cost = 
 index:     1460, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2884, cost = 
 index:     1461, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2869, cost = 
 index:     1462, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2873, cost = 
 index:     1463, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2881, cost = 
 index:     1464, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2882, cost = 
 index:     1465, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2889, cost = 
 index:     1466, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2874, cost = 
 index:     1467, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2879, cost = 
 index:     1468, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2886, cost = 
 index:     1469, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2886, cost = 
 index:     1470, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2893, cost = 
 index:     1471, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2879, cost = 
 index:     1472, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2847, cost = 
 index:     1473, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2870, cost = 
 index:     1474, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2867, cost = 
 index:     1475, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2877, cost = 
 index:     1476, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2879, cost = 
 index:     1477, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2891, cost = 
 index:     1478, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2884, cost = 
 index:     1479, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2888, cost = 
 index:     1480, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2896, cost = 
 index:     1481, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2896, cost = 
 index:     1482, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2904, cost = 
 index:     1483, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2891, cost = 
 index:     1484, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2895, cost = 
 index:     1485, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2902, cost = 
 index:     1486, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2902, cost = 
 index:     1487, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2909, cost = 
 index:     1488, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2896, cost = 
 index:     1489, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2901, cost = 
 index:     1490, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2907, cost = 
 index:     1491, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2907, cost = 
 index:     1492, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2914, cost = 
 index:     1493, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2901, cost = 
 index:     1494, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2869, cost = 
 index:     1495, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2892, cost = 
 index:     1496, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2889, cost = 
 index:     1497, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2898, cost = 
 index:     1498, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2900, cost = 
 index:     1499, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2911, cost = 
 index:     1500, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2905, cost = 
 index:     1501, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2910, cost = 
 index:     1502, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2918, cost = 
 index:     1503, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2918, cost = 
 index:     1504, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2925, cost = 
 index:     1505, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2912, cost = 
 index:     1506, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2916, cost = 
 index:     1507, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2924, cost = 
 index:     1508, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2924, cost = 
 index:     1509, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2930, cost = 
 index:     1510, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2917, cost = 
 index:     1511, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2922, cost = 
 index:     1512, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2929, cost = 
 index:     1513, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2929, cost = 
 index:     1514, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2935, cost = 
 index:     1515, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2922, cost = 
 index:     1516, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2895, cost = 
 index:     1517, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2917, cost = 
 index:     1518, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2912, cost = 
 index:     1519, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2920, cost = 
 index:     1520, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2923, cost = 
 index:     1521, (  64,   4): (  57, 100) --> (1499,   1), goal index:     2933, cost = 
 index:     1522, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2927, cost = 
 index:     1523, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2932, cost = 
 index:     1524, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2940, cost = 
 index:     1525, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2940, cost = 
 index:     1526, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2947, cost = 
 index:     1527, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2934, cost = 
 index:     1528, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2938, cost = 
 index:     1529, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2946, cost = 
 index:     1530, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2946, cost = 
 index:     1531, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2952, cost = 
 index:     1532, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2939, cost = 
 index:     1533, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2944, cost = 
 index:     1534, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2951, cost = 
 index:     1535, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2951, cost = 
 index:     1536, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2956, cost = 
 index:     1537, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2943, cost = 
 index:     1538, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2949, cost = 
 index:     1539, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2956, cost = 
 index:     1540, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2954, cost = 
 index:     1541, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2959, cost = 
 index:     1542, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2948, cost = 
 index:     1543, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2922, cost = 
 index:     1544, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2944, cost = 
 index:     1545, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2939, cost = 
 index:     1546, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2946, cost = 
 index:     1547, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2948, cost = 
 index:     1548, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2957, cost = 
 index:     1549, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2953, cost = 
 index:     1550, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2959, cost = 
 index:     1551, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2966, cost = 
 index:     1552, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2966, cost = 
 index:     1553, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2971, cost = 
 index:     1554, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2960, cost = 
 index:     1555, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2965, cost = 
 index:     1556, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2972, cost = 
 index:     1557, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2971, cost = 
 index:     1558, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2976, cost = 
 index:     1559, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2965, cost = 
 index:     1560, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2971, cost = 
 index:     1561, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2978, cost = 
 index:     1562, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2976, cost = 
 index:     1563, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2981, cost = 
 index:     1564, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2970, cost = 
 index:     1565, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2977, cost = 
 index:     1566, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2984, cost = 
 index:     1567, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2981, cost = 
 index:     1568, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2986, cost = 
 index:     1569, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2973, cost = 
 index:     1570, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2949, cost = 
 index:     1571, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2971, cost = 
 index:     1572, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2965, cost = 
 index:     1573, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2972, cost = 
 index:     1574, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2975, cost = 
 index:     1575, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2983, cost = 
 index:     1576, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2978, cost = 
 index:     1577, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2985, cost = 
 index:     1578, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2992, cost = 
 index:     1579, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2993, cost = 
 index:     1580, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2997, cost = 
 index:     1581, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2985, cost = 
 index:     1582, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2991, cost = 
 index:     1583, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2999, cost = 
 index:     1584, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2998, cost = 
 index:     1585, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3002, cost = 
 index:     1586, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2990, cost = 
 index:     1587, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2997, cost = 
 index:     1588, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3004, cost = 
 index:     1589, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3002, cost = 
 index:     1590, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3007, cost = 
 index:     1591, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2995, cost = 
 index:     1592, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3002, cost = 
 index:     1593, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3010, cost = 
 index:     1594, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3007, cost = 
 index:     1595, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3012, cost = 
 index:     1596, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2999, cost = 
 index:     1597, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2976, cost = 
 index:     1598, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2998, cost = 
 index:     1599, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2991, cost = 
 index:     1600, (  66,   4): (  59, 100) --> (1499,   1), goal index:     2997, cost = 
 index:     1601, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3000, cost = 
 index:     1602, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3007, cost = 
 index:     1603, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3004, cost = 
 index:     1604, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3012, cost = 
 index:     1605, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3019, cost = 
 index:     1606, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3018, cost = 
 index:     1607, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3021, cost = 
 index:     1608, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3011, cost = 
 index:     1609, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3018, cost = 
 index:     1610, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3026, cost = 
 index:     1611, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3023, cost = 
 index:     1612, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3026, cost = 
 index:     1613, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3015, cost = 
 index:     1614, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3023, cost = 
 index:     1615, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3032, cost = 
 index:     1616, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3028, cost = 
 index:     1617, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3032, cost = 
 index:     1618, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3020, cost = 
 index:     1619, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3028, cost = 
 index:     1620, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3038, cost = 
 index:     1621, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3033, cost = 
 index:     1622, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3038, cost = 
 index:     1623, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3025, cost = 
 index:     1624, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3003, cost = 
 index:     1625, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3025, cost = 
 index:     1626, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3018, cost = 
 index:     1627, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3023, cost = 
 index:     1628, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3026, cost = 
 index:     1629, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3032, cost = 
 index:     1630, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3030, cost = 
 index:     1631, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3039, cost = 
 index:     1632, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3046, cost = 
 index:     1633, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3044, cost = 
 index:     1634, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3046, cost = 
 index:     1635, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3036, cost = 
 index:     1636, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3045, cost = 
 index:     1637, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3053, cost = 
 index:     1638, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3049, cost = 
 index:     1639, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3052, cost = 
 index:     1640, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3041, cost = 
 index:     1641, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3050, cost = 
 index:     1642, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3059, cost = 
 index:     1643, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3054, cost = 
 index:     1644, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3057, cost = 
 index:     1645, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3045, cost = 
 index:     1646, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3056, cost = 
 index:     1647, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3064, cost = 
 index:     1648, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3058, cost = 
 index:     1649, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3062, cost = 
 index:     1650, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3050, cost = 
 index:     1651, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3030, cost = 
 index:     1652, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3052, cost = 
 index:     1653, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3043, cost = 
 index:     1654, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3047, cost = 
 index:     1655, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3051, cost = 
 index:     1656, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3054, cost = 
 index:     1657, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3054, cost = 
 index:     1658, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3066, cost = 
 index:     1659, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3073, cost = 
 index:     1660, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3069, cost = 
 index:     1661, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3070, cost = 
 index:     1662, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3061, cost = 
 index:     1663, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3072, cost = 
 index:     1664, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3080, cost = 
 index:     1665, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3074, cost = 
 index:     1666, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3075, cost = 
 index:     1667, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3065, cost = 
 index:     1668, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3078, cost = 
 index:     1669, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3085, cost = 
 index:     1670, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3079, cost = 
 index:     1671, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3081, cost = 
 index:     1672, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3070, cost = 
 index:     1673, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3084, cost = 
 index:     1674, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3090, cost = 
 index:     1675, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3084, cost = 
 index:     1676, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3085, cost = 
 index:     1677, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3074, cost = 
 index:     1678, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3057, cost = 
 index:     1679, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3079, cost = 
 index:     1680, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3069, cost = 
 index:     1681, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3072, cost = 
 index:     1682, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3077, cost = 
 index:     1683, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3077, cost = 
 index:     1684, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3078, cost = 
 index:     1685, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3092, cost = 
 index:     1686, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3099, cost = 
 index:     1687, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3093, cost = 
 index:     1688, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3092, cost = 
 index:     1689, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3084, cost = 
 index:     1690, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3098, cost = 
 index:     1691, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3104, cost = 
 index:     1692, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3097, cost = 
 index:     1693, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3097, cost = 
 index:     1694, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3088, cost = 
 index:     1695, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3103, cost = 
 index:     1696, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3108, cost = 
 index:     1697, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3101, cost = 
 index:     1698, (  66,   4): (  59, 100) --> (1499,   1), goal index:     3101, cost = 
